id,document_number,title,url,legal_type,legal_sectors,issuing_authority,issuance_date,signers
658530,114/2025/QH15,Luật Phòng bệnh 2025,https://thuvienphapluat.vn/van-ban/The-thao-Y-te/Luat-Phong-benh-2025-so-114-2025-QH15-658530.aspx,Luật,Thể thao - Y tế,Quốc hội,2025-10-12,Trần Thanh Mẫn:2140
372143,15/2023/QH15,"Luật khám bệnh, chữa bệnh 2023",https://thuvienphapluat.vn/van-ban/The-thao-Y-te/Luat-15-2023-QH15-kham-benh-chua-benh-372143.aspx,Luật,Thể thao - Y tế,Quốc hội,2023-09-01,Vương Đình Huệ:1556
309815,105/2016/QH13,Luật Dược 2016,https://thuvienphapluat.vn/van-ban/The-thao-Y-te/Luat-Duoc-2016-309815.aspx,Luật,Thể thao - Y tế,Quốc hội,2016-06-04,Nguyễn Thị Kim Ngân:453
38064,57-LCT/HĐNN8,"Luật Bảo vệ, chăm sóc và giáo dục trẻ em 1991",https://thuvienphapluat.vn/van-ban/Giao-duc/Luat-Bao-ve-cham-soc-va-giao-duc-tre-em-1991-57-LCT-HDNN8-38064.aspx,Luật,"Giáo dục, Thể thao - Y tế",Quốc hội,1991-12-08,Võ Chí Công:759
15870,77/2006/QH11,"Luật Thể dục, Thể thao 2006",https://thuvienphapluat.vn/van-ban/The-thao-Y-te/Luat-The-duc-The-thao-2006-77-2006-QH11-15870.aspx,Luật,Thể thao - Y tế,Quốc hội,,Nguyễn Phú Trọng:1450
142763,09/2012/QH13,"Luật phòng, chống tác hại của thuốc lá 2012",https://thuvienphapluat.vn/van-ban/The-thao-Y-te/Luat-phong-chong-tac-hai-cua-thuoc-la-2012-142763.aspx,Luật,"Thể thao - Y tế, Văn hóa - Xã hội",Quốc hội,,Nguyễn Sinh Hùng:431
336620,44/2019/QH14,"Luật Phòng, chống tác hại của rượu, bia 2019",https://thuvienphapluat.vn/van-ban/The-thao-Y-te/Luat-Phong-chong-tac-hai-cua-ruou-bia-336620.aspx,Luật,Thể thao - Y tế,Quốc hội,,Nguyễn Thị Kim Ngân:453
98714,40/2009/QH12,"Luật khám bệnh, chữa bệnh 2009",https://thuvienphapluat.vn/van-ban/The-thao-Y-te/Luat-kham-benh-chua-benh-nam-2009-98714.aspx,Luật,Thể thao - Y tế,Quốc hội,,Nguyễn Phú Trọng:1450
2626,34/2005/QH11,Luật Dược 2005,https://thuvienphapluat.vn/van-ban/The-thao-Y-te/Luat-Duoc-2005-34-2005-QH11-2626.aspx,Luật,Thể thao - Y tế,Quốc hội,,Nguyễn Văn An:485
354640,26/2018/QH14,"Luật Thể dục, thể thao sửa đổi 2018",https://thuvienphapluat.vn/van-ban/The-thao-Y-te/Luat-the-duc-the-thao-sua-doi-2018-354640.aspx,Luật,Thể thao - Y tế,Quốc hội,,Nguyễn Thị Kim Ngân:453
